doctor_id,nic,name,date_of_birth,gender,phone_number,email,address,year_experience,specialization,department_id,salary,joining_date,is_active
DOC140,42101-4140484-3,Dr. Nasreen Aslam,8/15/1982,Female,0439-0123456,nasreen.aslam@hospital.com,10037 Oak St  Quetta,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC141,42101-4782461-2,Dr. Shoaib Raza,3/10/1978,Male,0440-1234567,shoaib.raza@hospital.com,10038 Maple St  Hyderabad,18,Emergency,DPT001,145000,4/15/2007,TRUE
DOC142,42101-0471312-9,Dr. Rabia Yousuf,7/25/1984,Female,0441-2345678,rabia.yousuf@hospital.com,10039 Cedar St  Sialkot,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC143,42101-2132958-9,Dr. Tahir Ahmed,11/12/1979,Male,0442-3456789,tahir.ahmed@hospital.com,10040 Spruce St  Gujranwala,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC144,42101-7015955-9,Dr. Saima Khan,5/20/1986,Female,0443-4567890,saima.khan@hospital.com,10041 Walnut St  Karachi,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC145,42101-0962095-9,Dr. Arshad Hussain,9/15/1977,Male,0444-5678901,arshad.hussain@hospital.com,10042 Chestnut St  Lahore,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC146,42101-0908102-7,Dr. Farhana Ali,2/28/1983,Female,0445-6789012,farhana.ali@hospital.com,10043 Birch St  Islamabad,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC147,42101-8262115-2,Dr. Irfan Mahmood,6/12/1980,Male,0446-7890123,irfan.mahmood@hospital.com,10044 Pine St  Rawalpindi,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC148,42101-0824137-3,Dr. Saba Rehman,12/1/1985,Female,0447-8901234,saba.rehman@hospital.com,10045 Elm St  Faisalabad,10,ENT,DPT008,128000,2/15/2015,FALSE
DOC149,42101-8771988-5,Dr. Ashfaq Qureshi,8/25/1976,Male,0448-9012345,ashfaq.qureshi@hospital.com,10046 Oak St  Multan,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC150,42101-5989555-9,Dr. Nida Khan,3/10/1982,Female,0449-0123456,nida.khan@hospital.com,10047 Maple St  Peshawar,13,Dermatology,DPT010,130000,8/10/2012,TRUE
